AttrName,Type
VehicleID,ID
DataCollectedDate,datetime
NameOfTheVehicle,string
SellerType,categorical
OfferType,categorical
Price,integer
VehicleType,categorical
YearOfVehicleRegistration,Datetime-year
GearBoxType,categorical
PowerOfTheEngine,integer
ModelOfTheVehicle,string
DistranceTravelled,numeric
MonthOfVehicleRegistration,Datetime-month
TypeOfTheFuelUsed,categorical
BrandOfTheVehicle,categorical
IsDamageRepaired,categorical
DateOfAdCreation,datetime
NumberOfPictures,boolean
ZipCode,integer
DateOfAdLastSeen,datetime
